"timestamp","package name","current version","update version"
"06/04/19 09:24:39 AM","curl","7.19.7","7.19.7-53.0.2.el6_9"
"06/04/19 09:24:39 AM","ghostscript","8.70","8.70-24.el6_10.2"
"06/04/19 09:24:39 AM","java-1.7.0-openjdk","1.7.0.201","1:1.7.0.221-2.6.18.0.0.1.el6_10"
"06/04/19 09:24:40 AM",package OracleLinux6_x86_64_latest is not installed"
"06/04/19 09:24:40 AM","java-1.7.0-openjdk-devel","1.7.0.201","1:1.7.0.221-2.6.18.0.0.1.el6_10"
"06/04/19 09:24:40 AM",package OracleLinux6_x86_64_latest is not installed"
"06/04/19 09:24:40 AM","kernel","2.6.32",""kernel","2.6.32",""kernel","2.6.32","2.6.32-754.14.2.el6"
"06/04/19 09:24:40 AM","kernel-headers","2.6.32","2.6.32-754.14.2.el6"
"06/04/19 09:24:40 AM","libcurl","7.19.7","7.19.7-53.0.2.el6_9"
"06/04/19 09:24:40 AM","ntp","4.2.6p5","4.2.6p5-15.0.1.el6_10"
"06/04/19 09:24:40 AM","ntpdate","4.2.6p5","4.2.6p5-15.0.1.el6_10"
"06/04/19 09:24:40 AM","openssh","5.3p1","5.3p1-124.el6_10"
"06/04/19 09:24:40 AM","openssh-askpass","5.3p1","5.3p1-124.el6_10"
"06/04/19 09:24:41 AM","openssh-clients","5.3p1","5.3p1-124.el6_10"
"06/04/19 09:24:41 AM","openssh-server","5.3p1","5.3p1-124.el6_10"
"06/04/19 09:24:41 AM","perf","2.6.32","2.6.32-754.14.2.el6"
"06/04/19 09:24:41 AM","polkit","0.96","0.96-11.el6_10.1"
"06/04/19 09:24:41 AM","polkit-desktop-policy","0.96","0.96-11.el6_10.1"
